buyer_gstin,buyer_name,buyer_type,industry,past_disputes_count,avg_payment_delay_days,total_outstanding_to_mses,gst_compliance_status,risk_score
22AABCX0021E1ZP,Buyer Entity 021,PSU,Healthcare,1,97,977822.71,Non-Compliant,47.25
23AABCX0022E1ZP,Buyer Entity 022,State Govt,Healthcare,2,59,4680718.98,Non-Compliant,42.75
24AABCX0023E1ZP,Buyer Entity 023,Private Ltd,Retail,1,67,8446287.13,Compliant,21.75
25AABCX0024E1ZP,Buyer Entity 024,Private Ltd,Construction,2,48,8890682.6,Compliant,22.0
26AABCX0025E1ZP,Buyer Entity 025,Private Ltd,FMCG,1,81,14469814.37,Compliant,25.25
27AABCX0026E1ZP,Buyer Entity 026,Proprietorship,Retail,3,30,998166.05,Compliant,22.5
28AABCX0027E1ZP,Buyer Entity 027,State Govt,IT,11,101,5380133.22,Compliant,80.25
29AABCX0028E1ZP,Buyer Entity 028,PSU,FMCG,1,60,11670343.11,Compliant,20.0
30AABCX0029E1ZP,Buyer Entity 029,Proprietorship,Engineering,2,37,12185189.39,Compliant,19.25
31AABCX0030E1ZP,Buyer Entity 030,LLP,Healthcare,3,37,7008320.74,Compliant,24.25
32AABCX0031E1ZP,Buyer Entity 031,State Govt,Construction,1,45,11224577.13,Non-Compliant,34.25
33AABCX0032E1ZP,Buyer Entity 032,Proprietorship,Construction,2,82,10964834.71,Compliant,30.5
34AABCX0033E1ZP,Buyer Entity 033,Proprietorship,FMCG,1,45,11919061.94,Compliant,16.25
35AABCX0034E1ZP,Buyer Entity 034,Proprietorship,Engineering,1,80,13482217.88,Compliant,25.0
01AABCX0035E1ZP,Buyer Entity 035,Private Ltd,Retail,3,42,5581952.15,Non-Compliant,43.5
02AABCX0036E1ZP,Buyer Entity 036,State Govt,IT,1,71,10567492.52,Compliant,22.75
03AABCX0037E1ZP,Buyer Entity 037,Private Ltd,Retail,3,64,12240384.37,Compliant,31.0
04AABCX0038E1ZP,Buyer Entity 038,Private Ltd,Retail,2,47,12709626.46,Compliant,21.75
05AABCX0039E1ZP,Buyer Entity 039,Private Ltd,Retail,3,56,5590935.22,Non-Compliant,47.0
06AABCX0040E1ZP,Buyer Entity 040,State Govt,IT,1,33,11505785.06,Compliant,13.25
07AABCX0041E1ZP,Buyer Entity 041,LLP,Retail,3,32,2032401.9,Compliant,23.0
08AABCX0042E1ZP,Buyer Entity 042,PSU,IT,2,85,7734909.51,Compliant,31.25
09AABCX0043E1ZP,Buyer Entity 043,State Govt,Retail,3,37,13368066.8,Compliant,24.25
10AABCX0044E1ZP,Buyer Entity 044,Proprietorship,Engineering,2,75,4143089.33,Compliant,28.75
11AABCX0045E1ZP,Buyer Entity 045,Proprietorship,Engineering,2,88,8983271.33,Compliant,32.0
12AABCX0046E1ZP,Buyer Entity 046,State Govt,Healthcare,2,30,14229530.33,Compliant,17.5
13AABCX0047E1ZP,Buyer Entity 047,State Govt,IT,3,53,9850694.01,Compliant,28.25
14AABCX0048E1ZP,Buyer Entity 048,Private Ltd,Construction,3,49,5549112.99,Compliant,27.25
15AABCX0049E1ZP,Buyer Entity 049,Private Ltd,Retail,3,57,7480871.56,Compliant,29.25
16AABCX0050E1ZP,Buyer Entity 050,Proprietorship,Retail,1,78,9998391.88,Compliant,24.5
17AABCX0051E1ZP,Buyer Entity 051,Private Ltd,Construction,1,29,7408776.05,Compliant,12.25
18AABCX0052E1ZP,Buyer Entity 052,State Govt,Healthcare,2,78,13372677.36,Compliant,29.5
19AABCX0053E1ZP,Buyer Entity 053,Private Ltd,Engineering,2,36,9043144.66,Compliant,19.0
20AABCX0054E1ZP,Buyer Entity 054,Private Ltd,Construction,8,164,3226066.54,Non-Compliant,98.0
21AABCX0055E1ZP,Buyer Entity 055,PSU,FMCG,3,66,9283977.95,Non-Compliant,49.5
22AABCX0056E1ZP,Buyer Entity 056,Private Ltd,Healthcare,3,67,10879938.65,Compliant,31.75
23AABCX0057E1ZP,Buyer Entity 057,PSU,Engineering,3,63,1906977.29,Compliant,30.75
24AABCX0058E1ZP,Buyer Entity 058,State Govt,FMCG,3,78,11989656.05,Compliant,34.5
25AABCX0059E1ZP,Buyer Entity 059,State Govt,FMCG,2,80,1156032.67,Compliant,30.0
26AABCX0060E1ZP,Buyer Entity 060,Proprietorship,Healthcare,1,39,11467758.0,Non-Compliant,32.75
27AABCX0061E1ZP,Buyer Entity 061,Private Ltd,Healthcare,1,98,13403957.5,Compliant,29.5
28AABCX0062E1ZP,Buyer Entity 062,PSU,IT,1,73,1280648.23,Compliant,23.25
29AABCX0063E1ZP,Buyer Entity 063,State Govt,IT,2,33,4433875.33,Non-Compliant,36.25
30AABCX0064E1ZP,Buyer Entity 064,State Govt,Construction,1,37,9383868.89,Compliant,14.25
31AABCX0065E1ZP,Buyer Entity 065,LLP,Healthcare,3,32,432966.39,Compliant,23.0
32AABCX0066E1ZP,Buyer Entity 066,Private Ltd,Engineering,15,102,2567421.78,Compliant,98.0
33AABCX0067E1ZP,Buyer Entity 067,Proprietorship,FMCG,3,57,9652210.99,Compliant,29.25
34AABCX0068E1ZP,Buyer Entity 068,PSU,Healthcare,14,168,6946573.47,Compliant,98.0
35AABCX0069E1ZP,Buyer Entity 069,State Govt,FMCG,2,80,8662022.0,Non-Compliant,48.0
01AABCX0070E1ZP,Buyer Entity 070,LLP,FMCG,8,148,7003260.01,Non-Compliant,95.0
02AABCX0071E1ZP,Buyer Entity 071,State Govt,Construction,3,32,3255705.83,Compliant,23.0
03AABCX0072E1ZP,Buyer Entity 072,State Govt,Construction,3,68,1472708.35,Compliant,32.0
04AABCX0073E1ZP,Buyer Entity 073,LLP,Retail,3,39,10247353.88,Compliant,24.75
05AABCX0074E1ZP,Buyer Entity 074,PSU,FMCG,3,29,2066047.35,Compliant,22.25
06AABCX0075E1ZP,Buyer Entity 075,Proprietorship,Engineering,7,107,1739774.28,Compliant,61.75
07AABCX0076E1ZP,Buyer Entity 076,PSU,FMCG,1,93,5650368.7,Compliant,28.25
08AABCX0077E1ZP,Buyer Entity 077,PSU,Retail,2,70,8346233.52,Non-Compliant,45.5
09AABCX0078E1ZP,Buyer Entity 078,State Govt,Construction,2,98,1247280.34,Compliant,34.5
10AABCX0079E1ZP,Buyer Entity 079,LLP,FMCG,2,58,12504308.2,Non-Compliant,42.5
11AABCX0080E1ZP,Buyer Entity 080,PSU,Engineering,1,25,2986117.93,Compliant,11.25
12AABCX0081E1ZP,Buyer Entity 081,PSU,Retail,2,50,9384794.18,Non-Compliant,40.5
13AABCX0082E1ZP,Buyer Entity 082,Private Ltd,Construction,3,80,5985072.91,Compliant,35.0
14AABCX0083E1ZP,Buyer Entity 083,Private Ltd,FMCG,2,98,9312755.57,Compliant,34.5
15AABCX0084E1ZP,Buyer Entity 084,PSU,Retail,1,80,4051222.61,Compliant,25.0
16AABCX0085E1ZP,Buyer Entity 085,Proprietorship,FMCG,2,90,7060287.44,Compliant,32.5
17AABCX0086E1ZP,Buyer Entity 086,LLP,FMCG,2,63,14340254.56,Compliant,25.75
18AABCX0087E1ZP,Buyer Entity 087,PSU,Construction,1,45,443616.96,Non-Compliant,34.25
19AABCX0088E1ZP,Buyer Entity 088,Proprietorship,Retail,2,45,6546012.11,Compliant,21.25
20AABCX0089E1ZP,Buyer Entity 089,PSU,Construction,3,69,5073233.15,Compliant,32.25
21AABCX0090E1ZP,Buyer Entity 090,LLP,Healthcare,3,64,6456073.23,Compliant,31.0
22AABCX0091E1ZP,Buyer Entity 091,State Govt,Engineering,1,33,3821582.99,Compliant,13.25
23AABCX0092E1ZP,Buyer Entity 092,Proprietorship,Construction,3,54,3947829.14,Compliant,28.5
24AABCX0093E1ZP,Buyer Entity 093,Proprietorship,IT,9,209,3543780.4,Compliant,97.25
25AABCX0094E1ZP,Buyer Entity 094,LLP,Engineering,3,29,1643394.33,Compliant,22.25
26AABCX0095E1ZP,Buyer Entity 095,PSU,Healthcare,3,94,14255161.3,Compliant,38.5
27AABCX0096E1ZP,Buyer Entity 096,LLP,Retail,6,198,6093986.95,Compliant,79.5
28AABCX0097E1ZP,Buyer Entity 097,LLP,FMCG,1,29,3680933.14,Compliant,12.25
29AABCX0098E1ZP,Buyer Entity 098,PSU,Construction,1,61,12376725.33,Compliant,20.25
30AABCX0099E1ZP,Buyer Entity 099,State Govt,IT,1,74,3718407.95,Compliant,23.5
31AABCX0100E1ZP,Buyer Entity 100,State Govt,Engineering,3,67,3507980.1,Compliant,31.75
32AABCX0101E1ZP,Buyer Entity 101,LLP,Engineering,2,37,796830.47,Compliant,19.25
33AABCX0102E1ZP,Buyer Entity 102,PSU,Retail,1,97,4716615.68,Non-Compliant,47.25
34AABCX0103E1ZP,Buyer Entity 103,Private Ltd,Retail,2,58,3245884.59,Non-Compliant,42.5
35AABCX0104E1ZP,Buyer Entity 104,PSU,IT,3,47,3877838.07,Compliant,26.75
01AABCX0105E1ZP,Buyer Entity 105,PSU,IT,3,62,7052438.16,Compliant,30.5
02AABCX0106E1ZP,Buyer Entity 106,Private Ltd,Engineering,3,95,371973.74,Compliant,38.75
03AABCX0107E1ZP,Buyer Entity 107,State Govt,Healthcare,1,33,13507663.08,Compliant,13.25
04AABCX0108E1ZP,Buyer Entity 108,Proprietorship,Engineering,3,67,14057535.31,Compliant,31.75
05AABCX0109E1ZP,Buyer Entity 109,PSU,Engineering,12,152,9788104.61,Compliant,98.0
06AABCX0110E1ZP,Buyer Entity 110,Private Ltd,Healthcare,1,64,1205675.13,Compliant,21.0
07AABCX0111E1ZP,Buyer Entity 111,LLP,Engineering,3,38,5502612.76,Compliant,24.5
08AABCX0112E1ZP,Buyer Entity 112,PSU,Engineering,3,38,13112643.35,Non-Compliant,42.5
09AABCX0113E1ZP,Buyer Entity 113,Proprietorship,IT,1,52,4403639.3,Non-Compliant,36.0
10AABCX0114E1ZP,Buyer Entity 114,LLP,Retail,2,62,3093850.95,Compliant,25.5
11AABCX0115E1ZP,Buyer Entity 115,PSU,IT,1,88,13567383.24,Compliant,27.0
12AABCX0116E1ZP,Buyer Entity 116,LLP,Engineering,15,135,5706636.47,Compliant,98.0
13AABCX0117E1ZP,Buyer Entity 117,LLP,Healthcare,1,98,14159722.73,Compliant,29.5
14AABCX0118E1ZP,Buyer Entity 118,Proprietorship,Construction,1,76,8953368.0,Compliant,24.0
15AABCX0119E1ZP,Buyer Entity 119,Proprietorship,Retail,2,63,10012800.36,Compliant,25.75
16AABCX0120E1ZP,Buyer Entity 120,LLP,Healthcare,3,34,3630396.62,Compliant,23.5
17AABCX0121E1ZP,Buyer Entity 121,PSU,Construction,1,59,1305555.97,Compliant,19.75
18AABCX0122E1ZP,Buyer Entity 122,Proprietorship,IT,2,93,9024100.09,Non-Compliant,51.25
19AABCX0123E1ZP,Buyer Entity 123,PSU,Healthcare,2,44,977541.79,Compliant,21.0
20AABCX0124E1ZP,Buyer Entity 124,Proprietorship,IT,2,46,6153871.47,Compliant,21.5
21AABCX0125E1ZP,Buyer Entity 125,PSU,FMCG,1,44,5705497.54,Compliant,16.0
22AABCX0126E1ZP,Buyer Entity 126,LLP,FMCG,2,93,14516769.25,Compliant,33.25
23AABCX0127E1ZP,Buyer Entity 127,LLP,Healthcare,3,66,10008198.44,Compliant,31.5
24AABCX0128E1ZP,Buyer Entity 128,Proprietorship,Retail,2,64,14783717.57,Compliant,26.0
25AABCX0129E1ZP,Buyer Entity 129,State Govt,Engineering,3,55,10985628.79,Compliant,28.75
26AABCX0130E1ZP,Buyer Entity 130,PSU,Retail,3,94,11431318.2,Compliant,38.5
27AABCX0131E1ZP,Buyer Entity 131,Proprietorship,Construction,1,90,7371514.92,Compliant,27.5
28AABCX0132E1ZP,Buyer Entity 132,State Govt,Construction,2,41,11237333.3,Compliant,20.25
29AABCX0133E1ZP,Buyer Entity 133,Private Ltd,Construction,1,37,2880838.04,Compliant,14.25
30AABCX0134E1ZP,Buyer Entity 134,Private Ltd,Engineering,1,30,3561973.84,Non-Compliant,30.5
31AABCX0135E1ZP,Buyer Entity 135,LLP,Construction,1,40,10261561.68,Compliant,15.0
32AABCX0136E1ZP,Buyer Entity 136,Private Ltd,FMCG,2,54,13117349.84,Non-Compliant,41.5
33AABCX0137E1ZP,Buyer Entity 137,PSU,Healthcare,9,106,8385113.0,Compliant,71.5
34AABCX0138E1ZP,Buyer Entity 138,PSU,Engineering,6,201,9764702.08,Non-Compliant,98.0
35AABCX0139E1ZP,Buyer Entity 139,PSU,IT,1,50,4344413.43,Compliant,17.5
01AABCX0140E1ZP,Buyer Entity 140,Proprietorship,Construction,1,43,13075108.87,Compliant,15.75
02AABCX0141E1ZP,Buyer Entity 141,State Govt,IT,3,62,2561832.6,Compliant,30.5
03AABCX0142E1ZP,Buyer Entity 142,Proprietorship,Healthcare,8,215,5785091.75,Non-Compliant,98.0
04AABCX0143E1ZP,Buyer Entity 143,Private Ltd,Construction,1,63,13589116.67,Compliant,20.75
05AABCX0144E1ZP,Buyer Entity 144,State Govt,Engineering,2,83,8262185.68,Compliant,30.75
06AABCX0145E1ZP,Buyer Entity 145,State Govt,Healthcare,1,89,8255438.99,Compliant,27.25
07AABCX0146E1ZP,Buyer Entity 146,PSU,IT,1,47,3956842.99,Compliant,16.75
08AABCX0147E1ZP,Buyer Entity 147,Private Ltd,Retail,1,70,11353215.44,Compliant,22.5
09AABCX0148E1ZP,Buyer Entity 148,State Govt,Engineering,1,64,459477.95,Non-Compliant,39.0
10AABCX0149E1ZP,Buyer Entity 149,Private Ltd,Healthcare,1,49,11331032.72,Compliant,17.25
11AABCX0150E1ZP,Buyer Entity 150,Proprietorship,Healthcare,1,65,12971041.42,Compliant,21.25
12AABCX0151E1ZP,Buyer Entity 151,LLP,Engineering,1,90,368850.81,Compliant,27.5
13AABCX0152E1ZP,Buyer Entity 152,LLP,Construction,1,93,8579289.54,Non-Compliant,46.25
14AABCX0153E1ZP,Buyer Entity 153,State Govt,Retail,2,43,1628301.33,Compliant,20.75
15AABCX0154E1ZP,Buyer Entity 154,PSU,Healthcare,10,202,7832482.46,Compliant,98.0
16AABCX0155E1ZP,Buyer Entity 155,Proprietorship,Healthcare,3,87,1593391.45,Non-Compliant,54.75
17AABCX0156E1ZP,Buyer Entity 156,PSU,IT,1,47,764802.12,Non-Compliant,34.75
18AABCX0157E1ZP,Buyer Entity 157,State Govt,Retail,3,55,12587191.38,Compliant,28.75
19AABCX0158E1ZP,Buyer Entity 158,State Govt,Healthcare,1,41,1145759.96,Compliant,15.25
20AABCX0159E1ZP,Buyer Entity 159,Private Ltd,Engineering,2,67,8287998.06,Compliant,26.75
21AABCX0160E1ZP,Buyer Entity 160,Proprietorship,FMCG,1,39,8320706.27,Compliant,14.75
22AABCX0161E1ZP,Buyer Entity 161,PSU,Retail,3,51,7880602.23,Compliant,27.75
23AABCX0162E1ZP,Buyer Entity 162,State Govt,Engineering,3,99,13388692.14,Non-Compliant,57.75
24AABCX0163E1ZP,Buyer Entity 163,Proprietorship,Healthcare,1,59,1429627.97,Non-Compliant,37.75
25AABCX0164E1ZP,Buyer Entity 164,Private Ltd,Construction,2,48,5750442.33,Compliant,22.0
26AABCX0165E1ZP,Buyer Entity 165,State Govt,Retail,1,70,13011754.02,Compliant,22.5
27AABCX0166E1ZP,Buyer Entity 166,State Govt,Engineering,1,38,4317431.35,Non-Compliant,32.5
28AABCX0167E1ZP,Buyer Entity 167,Private Ltd,IT,1,86,12102995.7,Compliant,26.5
29AABCX0168E1ZP,Buyer Entity 168,LLP,Healthcare,1,71,13150665.16,Compliant,22.75
30AABCX0169E1ZP,Buyer Entity 169,Proprietorship,IT,3,94,14251012.5,Non-Compliant,56.5
31AABCX0170E1ZP,Buyer Entity 170,Private Ltd,IT,2,29,13874659.44,Compliant,17.25
32AABCX0171E1ZP,Buyer Entity 171,State Govt,Retail,2,55,12374539.34,Non-Compliant,41.75
33AABCX0172E1ZP,Buyer Entity 172,LLP,Engineering,1,25,14110526.61,Non-Compliant,29.25
34AABCX0173E1ZP,Buyer Entity 173,State Govt,FMCG,1,86,13632176.69,Compliant,26.5
35AABCX0174E1ZP,Buyer Entity 174,LLP,Engineering,1,35,13107985.6,Compliant,13.75
01AABCX0175E1ZP,Buyer Entity 175,LLP,Retail,2,31,10903099.0,Compliant,17.75
02AABCX0176E1ZP,Buyer Entity 176,PSU,IT,8,181,6485815.21,Non-Compliant,98.0
03AABCX0177E1ZP,Buyer Entity 177,Private Ltd,Retail,3,62,9069104.0,Compliant,30.5
04AABCX0178E1ZP,Buyer Entity 178,LLP,FMCG,1,94,9363302.4,Non-Compliant,46.5
05AABCX0179E1ZP,Buyer Entity 179,LLP,Engineering,1,71,3473684.93,Compliant,22.75
06AABCX0180E1ZP,Buyer Entity 180,Proprietorship,Engineering,1,63,7490036.66,Non-Compliant,38.75
07AABCX0181E1ZP,Buyer Entity 181,Proprietorship,IT,3,60,13400018.85,Compliant,30.0
08AABCX0182E1ZP,Buyer Entity 182,State Govt,Construction,3,96,9566675.43,Compliant,39.0
09AABCX0183E1ZP,Buyer Entity 183,Proprietorship,Healthcare,2,76,10120991.91,Non-Compliant,47.0
10AABCX0184E1ZP,Buyer Entity 184,State Govt,IT,2,79,3688986.39,Compliant,29.75
11AABCX0185E1ZP,Buyer Entity 185,State Govt,Healthcare,6,97,6854496.95,Compliant,54.25
12AABCX0186E1ZP,Buyer Entity 186,State Govt,Engineering,1,79,3654503.54,Compliant,24.75
13AABCX0187E1ZP,Buyer Entity 187,PSU,Retail,3,30,4500277.89,Compliant,22.5
14AABCX0188E1ZP,Buyer Entity 188,LLP,FMCG,1,40,7036862.37,Compliant,15.0
15AABCX0189E1ZP,Buyer Entity 189,LLP,Construction,3,66,8947459.75,Compliant,31.5
16AABCX0190E1ZP,Buyer Entity 190,Private Ltd,Retail,3,70,11435668.75,Compliant,32.5
17AABCX0191E1ZP,Buyer Entity 191,State Govt,Retail,2,33,8570914.28,Compliant,18.25
18AABCX0192E1ZP,Buyer Entity 192,PSU,Engineering,3,95,892251.65,Compliant,38.75
19AABCX0193E1ZP,Buyer Entity 193,State Govt,Construction,5,100,2784372.42,Compliant,50.0
20AABCX0194E1ZP,Buyer Entity 194,Private Ltd,FMCG,3,44,413545.66,Compliant,26.0
21AABCX0195E1ZP,Buyer Entity 195,Proprietorship,Retail,3,58,2978942.45,Compliant,29.5
22AABCX0196E1ZP,Buyer Entity 196,LLP,Retail,3,63,2098226.85,Compliant,30.75
23AABCX0197E1ZP,Buyer Entity 197,LLP,Retail,2,71,11535854.58,Compliant,27.75
24AABCX0198E1ZP,Buyer Entity 198,LLP,FMCG,3,30,9469573.19,Compliant,22.5
25AABCX0199E1ZP,Buyer Entity 199,Proprietorship,Construction,2,77,986021.75,Compliant,29.25
26AABCX0200E1ZP,Buyer Entity 200,Proprietorship,Healthcare,1,85,11675380.89,Non-Compliant,44.25
27AABCX0201E1ZP,Buyer Entity 201,PSU,IT,1,50,2588752.74,Compliant,17.5
28AABCX0202E1ZP,Buyer Entity 202,Private Ltd,Construction,2,77,6397305.66,Compliant,29.25
29AABCX0203E1ZP,Buyer Entity 203,Private Ltd,IT,3,42,14532224.32,Compliant,25.5
30AABCX0204E1ZP,Buyer Entity 204,LLP,Engineering,1,56,2662063.25,Compliant,19.0
31AABCX0205E1ZP,Buyer Entity 205,PSU,Healthcare,1,71,2202530.73,Compliant,22.75
32AABCX0206E1ZP,Buyer Entity 206,Proprietorship,IT,1,76,3775675.55,Compliant,24.0
33AABCX0207E1ZP,Buyer Entity 207,PSU,Engineering,2,84,12719200.64,Compliant,31.0
34AABCX0208E1ZP,Buyer Entity 208,Proprietorship,FMCG,3,93,1461952.35,Compliant,38.25
35AABCX0209E1ZP,Buyer Entity 209,PSU,Healthcare,1,38,1403583.01,Compliant,14.5
01AABCX0210E1ZP,Buyer Entity 210,PSU,IT,3,94,13573099.1,Compliant,38.5
02AABCX0211E1ZP,Buyer Entity 211,PSU,IT,3,79,3566690.74,Compliant,34.75
03AABCX0212E1ZP,Buyer Entity 212,Private Ltd,IT,1,26,11348185.09,Non-Compliant,29.5
04AABCX0213E1ZP,Buyer Entity 213,LLP,Engineering,2,62,11985804.72,Compliant,25.5
05AABCX0214E1ZP,Buyer Entity 214,State Govt,IT,3,99,9821613.31,Compliant,39.75
06AABCX0215E1ZP,Buyer Entity 215,Private Ltd,FMCG,6,128,1455614.0,Compliant,62.0
07AABCX0216E1ZP,Buyer Entity 216,Private Ltd,FMCG,2,38,13278265.36,Compliant,19.5
08AABCX0217E1ZP,Buyer Entity 217,LLP,IT,2,56,3852514.53,Compliant,24.0
09AABCX0218E1ZP,Buyer Entity 218,State Govt,Retail,3,92,5897658.04,Compliant,38.0
10AABCX0219E1ZP,Buyer Entity 219,Private Ltd,IT,1,86,3896592.64,Compliant,26.5
11AABCX0220E1ZP,Buyer Entity 220,State Govt,Healthcare,2,65,8678751.83,Non-Compliant,44.25
12AABCX0221E1ZP,Buyer Entity 221,State Govt,Healthcare,2,68,1105192.95,Compliant,27.0
13AABCX0222E1ZP,Buyer Entity 222,PSU,FMCG,2,94,11917922.31,Compliant,33.5
14AABCX0223E1ZP,Buyer Entity 223,PSU,Engineering,3,43,8491344.5,Compliant,25.75
15AABCX0224E1ZP,Buyer Entity 224,LLP,Retail,3,90,3893598.36,Compliant,37.5
16AABCX0225E1ZP,Buyer Entity 225,State Govt,Healthcare,1,90,1063829.06,Compliant,27.5
17AABCX0226E1ZP,Buyer Entity 226,PSU,Engineering,1,92,3653433.89,Compliant,28.0
18AABCX0227E1ZP,Buyer Entity 227,State Govt,Construction,2,91,8095768.93,Compliant,32.75
19AABCX0228E1ZP,Buyer Entity 228,LLP,FMCG,1,47,7737253.76,Compliant,16.75
20AABCX0229E1ZP,Buyer Entity 229,Proprietorship,Healthcare,2,81,14990467.25,Compliant,30.25
21AABCX0230E1ZP,Buyer Entity 230,State Govt,Construction,3,87,12160048.94,Compliant,36.75
22AABCX0231E1ZP,Buyer Entity 231,State Govt,IT,2,64,13872905.09,Compliant,26.0
23AABCX0232E1ZP,Buyer Entity 232,Proprietorship,Healthcare,2,86,7031284.74,Compliant,31.5
24AABCX0233E1ZP,Buyer Entity 233,PSU,FMCG,3,33,7029553.29,Compliant,23.25
25AABCX0234E1ZP,Buyer Entity 234,Proprietorship,FMCG,1,84,3371495.15,Compliant,26.0
26AABCX0235E1ZP,Buyer Entity 235,Proprietorship,FMCG,3,99,11390623.74,Non-Compliant,57.75
27AABCX0236E1ZP,Buyer Entity 236,LLP,Engineering,2,67,5255491.41,Compliant,26.75
28AABCX0237E1ZP,Buyer Entity 237,Private Ltd,FMCG,2,86,8862152.93,Compliant,31.5
29AABCX0238E1ZP,Buyer Entity 238,LLP,Retail,3,71,14455726.1,Compliant,32.75
30AABCX0239E1ZP,Buyer Entity 239,State Govt,Retail,3,48,7044538.71,Compliant,27.0
31AABCX0240E1ZP,Buyer Entity 240,State Govt,Engineering,2,69,9196810.25,Non-Compliant,45.25
32AABCX0241E1ZP,Buyer Entity 241,PSU,Healthcare,5,137,2992112.5,Compliant,59.25
33AABCX0242E1ZP,Buyer Entity 242,LLP,Engineering,2,82,12463230.8,Compliant,30.5
34AABCX0243E1ZP,Buyer Entity 243,LLP,Construction,1,58,11514288.99,Compliant,19.5
35AABCX0244E1ZP,Buyer Entity 244,State Govt,FMCG,3,88,824261.9,Compliant,37.0
01AABCX0245E1ZP,Buyer Entity 245,PSU,FMCG,14,105,1900117.2,Compliant,96.25
02AABCX0246E1ZP,Buyer Entity 246,LLP,Retail,2,38,7666038.81,Compliant,19.5
03AABCX0247E1ZP,Buyer Entity 247,LLP,Retail,2,96,11820208.59,Compliant,34.0
04AABCX0248E1ZP,Buyer Entity 248,PSU,Construction,11,122,13964053.24,Compliant,85.5
05AABCX0249E1ZP,Buyer Entity 249,PSU,Engineering,3,95,8945045.34,Compliant,38.75
06AABCX0250E1ZP,Buyer Entity 250,LLP,Construction,12,183,2351752.09,Compliant,98.0
07AABCX0251E1ZP,Buyer Entity 251,State Govt,Retail,2,70,3600128.81,Compliant,27.5
08AABCX0252E1ZP,Buyer Entity 252,PSU,Engineering,2,25,8202478.75,Compliant,16.25
09AABCX0253E1ZP,Buyer Entity 253,LLP,Retail,1,90,8004425.4,Compliant,27.5
10AABCX0254E1ZP,Buyer Entity 254,Private Ltd,Retail,1,41,9917187.79,Non-Compliant,33.25
11AABCX0255E1ZP,Buyer Entity 255,Private Ltd,FMCG,1,70,1614336.08,Compliant,22.5
12AABCX0256E1ZP,Buyer Entity 256,Private Ltd,Retail,3,85,5491245.53,Compliant,36.25
13AABCX0257E1ZP,Buyer Entity 257,Proprietorship,Healthcare,6,105,5877245.4,Compliant,56.25
14AABCX0258E1ZP,Buyer Entity 258,Proprietorship,Construction,1,46,11748460.64,Compliant,16.5
15AABCX0259E1ZP,Buyer Entity 259,State Govt,IT,3,69,8229483.06,Compliant,32.25
16AABCX0260E1ZP,Buyer Entity 260,LLP,Engineering,1,49,5101776.58,Compliant,17.25
17AABCX0261E1ZP,Buyer Entity 261,State Govt,Construction,2,56,6003922.44,Non-Compliant,42.0
18AABCX0262E1ZP,Buyer Entity 262,Proprietorship,Engineering,1,52,8945285.64,Compliant,18.0
19AABCX0263E1ZP,Buyer Entity 263,PSU,Retail,14,130,11938485.7,Compliant,98.0
