case_id,dispute_amount,days_overdue,buyer_type,sector,state,has_agreement,agreed_credit_days,buyer_gst_compliant,invoice_count,interest_amount,cross_state,settlement_probability,recovery_percentage,resolution_days
NS-ML-00016,278593.76,61,PSU,Manufacturing,Maharashtra,True,45,False,1,22287.5,False,0.7839,95.96,63.85
NS-ML-00017,547500.02,194,Private Ltd,Manufacturing,Karnataka,False,0,True,5,43800.0,False,0.6187,73.41,80.81
NS-ML-00018,457400.51,149,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,5,36592.04,False,0.7739,78.74,94.98
NS-ML-00019,412858.97,59,Private Ltd,Services,Uttar Pradesh,False,0,False,4,33028.72,True,0.6605,70.02,137.31
NS-ML-00020,333644.26,132,Proprietorship,Manufacturing,Karnataka,True,45,True,1,26691.54,False,0.6601,79.99,73.83
NS-ML-00021,145674.38,84,Private Ltd,Manufacturing,Gujarat,False,0,True,2,11653.95,False,0.5812,71.44,59.5
NS-ML-00022,412045.47,82,Private Ltd,Services,Uttar Pradesh,True,45,False,5,32963.64,False,0.7271,92.03,119.38
NS-ML-00023,555013.8,74,Private Ltd,Services,Delhi,True,45,True,4,44401.1,False,0.7788,82.86,83.01
NS-ML-00024,115215.18,153,Proprietorship,Manufacturing,Tamil Nadu,False,0,True,2,9217.21,True,0.6509,61.57,97.77
NS-ML-00025,97593.2,78,Central Govt,Manufacturing,Uttar Pradesh,True,45,True,4,7807.46,False,0.7573,100.0,145.58
NS-ML-00026,217489.2,80,PSU,Manufacturing,Tamil Nadu,False,0,True,4,17399.14,False,0.6648,86.51,136.58
NS-ML-00027,139154.42,119,PSU,Services,Maharashtra,True,45,True,5,11132.35,False,0.7372,98.8,77.04
NS-ML-00028,160588.24,166,Private Ltd,Manufacturing,Maharashtra,False,0,True,5,12847.06,True,0.6767,65.96,77.91
NS-ML-00029,570613.68,61,Private Ltd,Services,Uttar Pradesh,True,45,True,5,45649.09,False,0.8063,96.3,122.34
NS-ML-00030,142037.64,107,Central Govt,Manufacturing,Delhi,True,45,True,3,11363.01,True,0.8952,100.0,135.41
NS-ML-00031,675483.68,142,Private Ltd,Manufacturing,Delhi,True,45,True,4,54038.69,True,0.7917,91.14,104.3
NS-ML-00032,185599.48,175,State Govt,Manufacturing,Delhi,False,0,True,4,14847.96,False,0.6602,83.67,130.93
NS-ML-00033,177461.05,42,Private Ltd,Services,Uttar Pradesh,True,45,True,2,14196.88,False,0.7697,84.86,132.27
NS-ML-00034,326805.7,59,Private Ltd,Manufacturing,Maharashtra,False,0,True,1,26144.46,False,0.7279,61.61,73.49
NS-ML-00035,207523.89,43,Private Ltd,Services,Gujarat,True,45,True,3,16601.91,True,0.7479,93.06,108.68
NS-ML-00036,2424038.73,110,Central Govt,Manufacturing,Gujarat,True,45,True,5,193923.1,True,0.7488,100.0,182.83
NS-ML-00037,73348.16,172,State Govt,Manufacturing,Gujarat,True,45,True,5,5867.85,False,0.7293,100.0,125.29
NS-ML-00038,76229.31,30,Private Ltd,Manufacturing,Delhi,False,0,True,1,6098.34,False,0.6794,87.64,69.08
NS-ML-00039,306980.28,165,Proprietorship,Manufacturing,Gujarat,True,45,False,1,24558.42,False,0.5529,73.93,83.71
NS-ML-00040,609419.12,111,Private Ltd,Manufacturing,Karnataka,False,0,True,4,48753.53,False,0.7583,66.76,71.16
NS-ML-00041,375064.1,63,Private Ltd,Manufacturing,Gujarat,False,0,True,4,30005.13,False,0.7895,63.75,70.92
NS-ML-00042,93185.1,56,Private Ltd,Manufacturing,Maharashtra,True,45,False,4,7454.81,False,0.7882,80.82,105.38
NS-ML-00043,194824.31,74,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,3,15585.94,False,0.7301,82.29,137.73
NS-ML-00044,650670.24,59,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,3,52053.62,False,0.6995,69.91,129.93
NS-ML-00045,190707.75,290,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,1,15256.62,False,0.7285,62.82,146.81
NS-ML-00046,530874.78,142,Private Ltd,Manufacturing,Karnataka,True,45,True,4,42469.98,True,0.6843,93.6,83.75
NS-ML-00047,409334.3,150,State Govt,Services,Gujarat,True,45,False,1,32746.74,False,0.8472,100.0,129.11
NS-ML-00048,1193152.27,73,Private Ltd,Services,Maharashtra,True,45,True,4,95452.18,False,0.7028,90.64,78.66
NS-ML-00049,496019.0,77,Proprietorship,Manufacturing,Tamil Nadu,True,45,True,4,39681.52,False,0.6148,75.68,86.36
NS-ML-00050,50411.99,83,Proprietorship,Services,Tamil Nadu,True,45,True,2,4032.96,False,0.6582,76.99,103.13
NS-ML-00051,170144.61,74,Private Ltd,Services,Maharashtra,True,45,True,4,13611.57,True,0.7095,76.61,81.88
NS-ML-00052,722690.64,84,Private Ltd,Services,Gujarat,True,45,True,2,57815.25,True,0.692,90.8,101.39
NS-ML-00053,3044154.94,135,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,3,243532.4,False,0.7458,79.42,135.25
NS-ML-00054,672931.19,141,Private Ltd,Services,Delhi,False,0,True,2,53834.49,False,0.7064,69.77,104.08
NS-ML-00055,280203.13,79,Proprietorship,Services,Karnataka,True,45,True,2,22416.25,False,0.6971,66.28,100.6
NS-ML-00056,395406.86,145,Private Ltd,Services,Karnataka,True,45,True,5,31632.55,False,0.754,88.4,101.27
NS-ML-00057,716846.05,37,PSU,Services,Karnataka,True,45,True,3,57347.68,False,0.9312,100.0,123.87
NS-ML-00058,77828.36,77,PSU,Manufacturing,Gujarat,True,45,True,4,6226.27,False,0.8569,100.0,117.08
NS-ML-00059,575611.24,136,Private Ltd,Services,Uttar Pradesh,True,45,True,3,46048.9,True,0.8253,77.61,128.61
NS-ML-00060,158932.99,99,Private Ltd,Services,Uttar Pradesh,False,0,True,5,12714.64,True,0.7215,66.22,99.42
NS-ML-00061,560253.54,235,Private Ltd,Manufacturing,Maharashtra,True,45,True,4,44820.28,False,0.7394,89.21,93.31
NS-ML-00062,164517.11,98,Proprietorship,Services,Karnataka,False,0,False,3,13161.37,True,0.5581,58.26,98.65
NS-ML-00063,241097.66,74,Central Govt,Services,Karnataka,True,45,True,1,19287.81,True,0.9233,100.0,149.12
NS-ML-00064,151855.86,243,State Govt,Manufacturing,Tamil Nadu,True,45,True,1,12148.47,True,0.8466,100.0,157.55
NS-ML-00065,3142884.47,92,PSU,Manufacturing,Uttar Pradesh,False,0,True,4,251430.76,True,0.6271,79.31,142.27
NS-ML-00066,93035.58,91,State Govt,Services,Tamil Nadu,False,0,False,4,7442.85,False,0.8113,88.84,103.81
NS-ML-00067,184702.06,101,Private Ltd,Manufacturing,Maharashtra,True,45,True,5,14776.16,False,0.8334,79.04,78.32
NS-ML-00068,105228.9,76,State Govt,Services,Delhi,True,45,True,4,8418.31,False,0.8362,100.0,136.03
NS-ML-00069,2063330.49,232,Private Ltd,Manufacturing,Gujarat,False,0,True,1,165066.44,False,0.6553,78.33,104.34
NS-ML-00070,468252.32,90,PSU,Manufacturing,Delhi,False,0,True,4,37460.19,False,0.6352,84.44,119.34
NS-ML-00071,511208.86,122,Private Ltd,Manufacturing,Delhi,False,0,True,4,40896.71,False,0.706,69.83,65.71
NS-ML-00072,285373.32,152,Proprietorship,Manufacturing,Uttar Pradesh,True,45,False,5,22829.87,True,0.5762,81.36,146.21
NS-ML-00073,86997.52,35,Private Ltd,Services,Maharashtra,False,0,False,3,6959.8,False,0.6648,64.09,81.12
NS-ML-00074,318463.65,115,Private Ltd,Services,Gujarat,True,45,True,2,25477.09,False,0.7846,80.8,96.4
NS-ML-00075,193403.43,150,Private Ltd,Manufacturing,Maharashtra,True,45,True,1,15472.27,False,0.7852,80.78,49.31
NS-ML-00076,591866.13,61,Proprietorship,Manufacturing,Maharashtra,False,0,True,2,47349.29,True,0.5744,63.2,56.63
NS-ML-00077,441600.92,92,Proprietorship,Services,Uttar Pradesh,False,0,True,1,35328.07,False,0.5359,44.15,113.26
NS-ML-00078,254797.73,176,Proprietorship,Manufacturing,Gujarat,False,0,True,4,20383.82,False,0.629,63.02,76.87
NS-ML-00079,204902.12,39,State Govt,Services,Maharashtra,False,0,True,1,16392.17,True,0.6829,89.86,79.8
NS-ML-00080,532768.52,69,Private Ltd,Manufacturing,Maharashtra,False,0,True,4,42621.48,False,0.6961,77.34,66.61
NS-ML-00081,124681.12,154,State Govt,Manufacturing,Maharashtra,False,0,False,1,9974.49,False,0.683,79.88,68.01
NS-ML-00082,222037.29,171,Private Ltd,Services,Uttar Pradesh,False,0,True,2,17762.98,False,0.8118,75.43,156.67
NS-ML-00083,97459.68,38,Private Ltd,Manufacturing,Maharashtra,True,45,True,1,7796.77,False,0.7661,87.17,75.83
NS-ML-00084,92482.8,182,Proprietorship,Manufacturing,Maharashtra,True,45,True,3,7398.62,False,0.6504,68.05,78.08
NS-ML-00085,188897.94,75,Private Ltd,Services,Karnataka,False,0,False,2,15111.84,False,0.7405,65.05,90.26
NS-ML-00086,462823.82,110,State Govt,Services,Gujarat,False,0,True,5,37025.91,False,0.6664,80.87,116.05
NS-ML-00087,246221.53,50,Private Ltd,Manufacturing,Karnataka,False,0,True,5,19697.72,True,0.6638,64.08,104.41
NS-ML-00088,210954.62,128,Proprietorship,Services,Gujarat,True,45,True,1,16876.37,True,0.7218,72.7,94.2
NS-ML-00089,249374.26,48,Private Ltd,Services,Uttar Pradesh,False,0,False,2,19949.94,False,0.7348,67.5,104.0
NS-ML-00090,226951.88,114,Private Ltd,Manufacturing,Gujarat,True,45,True,5,18156.15,False,0.8061,85.3,68.15
NS-ML-00091,233454.5,130,Private Ltd,Manufacturing,Maharashtra,False,0,True,5,18676.36,False,0.7932,57.38,82.08
NS-ML-00092,2448235.02,56,Proprietorship,Services,Delhi,True,45,True,1,195858.8,False,0.5423,89.95,103.79
NS-ML-00093,93612.49,108,State Govt,Services,Uttar Pradesh,True,45,True,4,7489.0,True,0.8482,100.0,141.0
NS-ML-00094,324589.66,94,Private Ltd,Manufacturing,Tamil Nadu,False,0,True,2,25967.17,False,0.606,65.56,78.79
NS-ML-00095,217987.62,63,Private Ltd,Services,Karnataka,True,45,False,4,17439.01,True,0.8108,84.88,87.41
NS-ML-00096,982380.46,173,Private Ltd,Services,Maharashtra,False,0,False,4,78590.44,False,0.6952,65.35,76.34
NS-ML-00097,77002.26,53,Private Ltd,Services,Maharashtra,False,0,True,3,6160.18,True,0.6067,71.56,63.02
NS-ML-00098,258748.65,161,Proprietorship,Services,Tamil Nadu,False,0,True,2,20699.89,False,0.5582,64.31,76.66
NS-ML-00099,159779.18,37,Private Ltd,Manufacturing,Delhi,True,45,True,2,12782.33,False,0.7639,92.23,84.2
NS-ML-00100,303218.46,85,Proprietorship,Services,Delhi,True,45,True,4,24257.48,False,0.6417,60.11,75.05
NS-ML-00101,129331.72,153,Private Ltd,Manufacturing,Karnataka,False,0,True,3,10346.54,False,0.6645,60.15,88.86
NS-ML-00102,366735.76,155,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,5,29338.86,False,0.7451,70.87,123.39
NS-ML-00103,226072.68,133,State Govt,Manufacturing,Gujarat,True,45,False,2,18085.81,True,0.7767,100.0,148.71
NS-ML-00104,231064.75,33,Proprietorship,Services,Karnataka,True,45,True,4,18485.18,False,0.71,74.45,75.77
NS-ML-00105,286161.87,144,Proprietorship,Services,Gujarat,False,0,True,1,22892.95,False,0.6514,67.06,84.19
NS-ML-00106,252376.2,85,Proprietorship,Manufacturing,Gujarat,True,45,False,1,20190.1,False,0.5998,63.9,75.16
NS-ML-00107,1620457.17,102,PSU,Manufacturing,Maharashtra,False,0,False,4,129636.57,False,0.5907,89.29,85.44
NS-ML-00108,668161.89,114,State Govt,Manufacturing,Uttar Pradesh,True,45,True,4,53452.95,False,0.6989,100.0,124.85
NS-ML-00109,199652.59,120,Private Ltd,Manufacturing,Maharashtra,True,45,True,4,15972.21,False,0.6622,86.58,86.39
NS-ML-00110,364646.45,30,PSU,Manufacturing,Uttar Pradesh,True,45,False,4,29171.72,True,0.7937,100.0,118.46
NS-ML-00111,122054.97,149,Private Ltd,Services,Tamil Nadu,False,0,False,4,9764.4,False,0.6634,68.61,86.21
NS-ML-00112,1115904.89,73,Private Ltd,Manufacturing,Karnataka,False,0,False,4,89272.39,False,0.6238,73.42,110.63
NS-ML-00113,120471.88,210,Central Govt,Manufacturing,Maharashtra,True,45,True,3,9637.75,False,0.8312,100.0,63.58
NS-ML-00114,499434.3,229,Central Govt,Manufacturing,Uttar Pradesh,True,45,True,1,39954.74,False,0.8692,100.0,120.89
NS-ML-00115,458070.68,35,PSU,Manufacturing,Maharashtra,True,45,True,3,36645.65,False,0.7536,100.0,72.6
NS-ML-00116,922322.07,90,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,4,73785.77,False,0.6918,64.61,125.64
NS-ML-00117,349124.57,66,Proprietorship,Services,Delhi,True,45,True,3,27929.97,True,0.6841,68.77,102.84
NS-ML-00118,862870.95,195,Private Ltd,Services,Maharashtra,True,45,True,5,69029.68,False,0.7481,93.51,83.81
NS-ML-00119,46453.76,39,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,4,3716.3,False,0.6164,72.46,102.31
NS-ML-00120,222043.27,77,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,2,17763.46,False,0.6183,74.53,112.89
NS-ML-00121,205461.14,119,Private Ltd,Manufacturing,Maharashtra,True,45,True,3,16436.89,False,0.8319,76.94,65.84
NS-ML-00122,458332.81,138,PSU,Manufacturing,Delhi,True,45,True,1,36666.62,False,0.8414,100.0,104.74
NS-ML-00123,650641.1,153,Private Ltd,Services,Uttar Pradesh,True,45,True,4,52051.29,False,0.7837,90.66,133.61
NS-ML-00124,169782.75,133,Private Ltd,Services,Delhi,False,0,True,1,13582.62,True,0.5742,66.65,83.72
NS-ML-00125,118148.79,145,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,4,9451.9,False,0.6736,68.47,114.21
NS-ML-00126,122621.06,55,Private Ltd,Services,Uttar Pradesh,True,45,True,1,9809.68,True,0.778,88.57,128.59
NS-ML-00127,68544.49,151,PSU,Services,Maharashtra,False,0,False,5,5483.56,False,0.6523,87.45,79.41
NS-ML-00128,1429897.8,80,Private Ltd,Services,Delhi,False,0,True,4,114391.82,True,0.7105,69.99,134.29
NS-ML-00129,150199.69,117,Private Ltd,Manufacturing,Delhi,True,45,True,1,12015.97,True,0.734,86.89,106.89
NS-ML-00130,213577.4,73,Private Ltd,Services,Delhi,False,0,True,5,17086.19,False,0.6735,72.32,81.87
NS-ML-00131,582078.57,73,Private Ltd,Services,Tamil Nadu,False,0,True,3,46566.29,False,0.6841,66.97,71.03
NS-ML-00132,25000.0,42,Private Ltd,Services,Karnataka,True,45,True,2,2000.0,False,0.7802,92.05,78.27
NS-ML-00133,235819.48,171,Private Ltd,Manufacturing,Delhi,False,0,True,5,18865.56,False,0.6987,61.18,87.91
NS-ML-00134,244574.96,98,PSU,Manufacturing,Tamil Nadu,True,45,True,3,19566.0,True,0.898,100.0,122.98
NS-ML-00135,174398.03,76,Private Ltd,Services,Maharashtra,False,0,True,4,13951.84,False,0.7221,70.09,89.01
NS-ML-00136,131075.61,168,Private Ltd,Manufacturing,Delhi,True,45,True,4,10486.05,True,0.8664,73.99,90.96
NS-ML-00137,496726.41,50,Private Ltd,Manufacturing,Delhi,True,45,True,2,39738.11,True,0.729,78.63,111.38
NS-ML-00138,238726.17,131,Proprietorship,Services,Karnataka,True,45,True,5,19098.09,False,0.626,74.23,71.99
NS-ML-00139,162022.95,60,Private Ltd,Services,Uttar Pradesh,False,0,True,2,12961.84,False,0.6878,66.98,137.11
NS-ML-00140,399082.99,72,Private Ltd,Manufacturing,Gujarat,True,45,True,2,31926.64,False,0.8062,77.2,84.46
NS-ML-00141,190880.38,150,State Govt,Manufacturing,Maharashtra,True,45,True,1,15270.43,True,0.7596,99.61,78.55
NS-ML-00142,844546.96,68,Private Ltd,Manufacturing,Maharashtra,False,0,True,1,67563.76,False,0.6426,63.81,76.29
NS-ML-00143,183902.54,88,Private Ltd,Services,Uttar Pradesh,True,45,True,5,14712.2,True,0.7419,80.05,114.45
NS-ML-00144,1311367.32,69,Private Ltd,Manufacturing,Tamil Nadu,False,0,True,4,104909.39,False,0.6484,66.8,114.24
NS-ML-00145,85354.28,136,PSU,Manufacturing,Maharashtra,False,0,True,4,6828.34,False,0.7142,90.21,80.99
NS-ML-00146,3051846.43,116,Private Ltd,Manufacturing,Maharashtra,True,45,True,2,244147.71,True,0.7422,90.55,77.62
NS-ML-00147,595889.35,174,Private Ltd,Manufacturing,Gujarat,False,0,True,5,47671.15,True,0.6453,61.76,120.45
NS-ML-00148,246470.68,60,State Govt,Manufacturing,Maharashtra,True,45,True,4,19717.65,False,0.8518,91.53,75.18
NS-ML-00149,613596.29,103,Private Ltd,Manufacturing,Maharashtra,False,0,True,2,49087.7,False,0.669,69.54,71.72
NS-ML-00150,418081.67,90,Private Ltd,Manufacturing,Karnataka,True,45,True,2,33446.53,False,0.7607,89.59,66.04
NS-ML-00151,515568.46,83,Private Ltd,Services,Uttar Pradesh,True,45,True,1,41245.48,False,0.7604,91.38,149.39
NS-ML-00152,293413.72,206,Private Ltd,Manufacturing,Karnataka,False,0,True,4,23473.1,False,0.5905,68.65,77.65
NS-ML-00153,883438.48,168,Proprietorship,Services,Maharashtra,True,45,True,3,70675.08,False,0.6326,63.77,81.02
NS-ML-00154,189805.71,109,State Govt,Services,Delhi,True,45,True,5,15184.46,False,0.8562,100.0,104.25
NS-ML-00155,672015.11,150,Private Ltd,Services,Gujarat,False,0,True,4,53761.21,False,0.6685,71.71,79.83
NS-ML-00156,25000.0,155,Proprietorship,Manufacturing,Maharashtra,True,45,True,3,2000.0,False,0.6618,68.15,70.38
NS-ML-00157,197596.84,62,State Govt,Manufacturing,Karnataka,False,0,True,3,15807.75,False,0.6766,76.97,122.88
NS-ML-00158,368867.71,172,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,1,29509.42,False,0.6396,77.18,126.06
NS-ML-00159,128285.72,124,Private Ltd,Manufacturing,Uttar Pradesh,True,45,False,5,10262.86,False,0.7202,91.73,114.23
NS-ML-00160,86287.14,307,Central Govt,Services,Gujarat,False,0,False,1,6902.97,False,0.7018,92.26,118.66
NS-ML-00161,274326.27,52,Private Ltd,Manufacturing,Gujarat,True,45,True,2,21946.1,False,0.6528,88.63,102.56
NS-ML-00162,475175.19,104,Private Ltd,Manufacturing,Gujarat,True,45,True,5,38014.02,False,0.787,76.26,76.88
NS-ML-00163,190382.68,177,Private Ltd,Services,Maharashtra,True,45,True,3,15230.61,False,0.805,89.96,56.39
NS-ML-00164,852491.99,65,Proprietorship,Manufacturing,Maharashtra,True,45,True,1,68199.36,False,0.7873,67.73,97.03
NS-ML-00165,133931.28,122,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,3,10714.5,False,0.5637,76.56,111.26
NS-ML-00166,63596.35,280,Private Ltd,Services,Delhi,True,45,True,5,5087.71,True,0.8655,82.5,94.01
NS-ML-00167,354171.71,124,Central Govt,Services,Maharashtra,True,45,True,2,28333.74,False,0.8081,100.0,73.63
NS-ML-00168,3839950.3,101,PSU,Manufacturing,Maharashtra,True,45,True,3,307196.02,False,0.6673,100.0,72.1
NS-ML-00169,900275.87,52,Private Ltd,Manufacturing,Tamil Nadu,True,45,True,5,72022.07,False,0.6561,88.75,76.52
NS-ML-00170,86918.7,48,PSU,Services,Karnataka,True,45,False,5,6953.5,False,0.9573,100.0,128.0
NS-ML-00171,392009.36,54,Proprietorship,Services,Delhi,False,0,True,2,31360.75,False,0.5049,60.32,86.36
NS-ML-00172,97313.49,97,Proprietorship,Manufacturing,Uttar Pradesh,False,0,True,3,7785.08,False,0.598,66.23,129.93
NS-ML-00173,408849.67,160,Private Ltd,Manufacturing,Uttar Pradesh,False,0,True,2,32707.97,True,0.6191,76.79,126.52
NS-ML-00174,391490.09,105,Proprietorship,Services,Gujarat,False,0,True,5,31319.21,True,0.497,56.52,93.11
NS-ML-00175,179053.43,131,Proprietorship,Manufacturing,Delhi,False,0,False,2,14324.27,False,0.6143,52.69,73.27
NS-ML-00176,348314.92,43,Private Ltd,Services,Gujarat,False,0,True,4,27865.19,False,0.7644,70.61,74.19
NS-ML-00177,293497.51,233,Private Ltd,Services,Uttar Pradesh,True,45,True,3,23479.8,False,0.6695,88.74,148.51
NS-ML-00178,304782.89,229,Private Ltd,Manufacturing,Gujarat,False,0,False,1,24382.63,False,0.7423,72.3,72.63
NS-ML-00179,561409.64,236,Private Ltd,Services,Maharashtra,True,45,True,5,44912.77,False,0.8211,89.2,78.13
NS-ML-00180,184952.39,69,Private Ltd,Services,Karnataka,True,45,False,3,14796.19,False,0.7916,87.02,88.92
NS-ML-00181,811431.35,119,State Govt,Services,Gujarat,False,0,True,1,64914.51,True,0.8185,93.89,168.15
NS-ML-00182,798619.28,55,Private Ltd,Manufacturing,Uttar Pradesh,True,45,False,5,63889.54,False,0.7256,83.13,130.51
NS-ML-00183,622468.42,87,PSU,Services,Karnataka,False,0,True,5,49797.47,False,0.5854,91.59,134.68
NS-ML-00184,446610.72,65,PSU,Manufacturing,Uttar Pradesh,False,0,True,2,35728.86,False,0.637,89.25,120.77
NS-ML-00185,457065.66,159,Private Ltd,Services,Delhi,True,45,False,3,36565.25,True,0.7403,76.25,104.27
NS-ML-00186,361024.28,30,Private Ltd,Services,Maharashtra,False,0,False,2,28881.94,False,0.6182,78.28,94.73
NS-ML-00187,653382.13,104,Private Ltd,Services,Karnataka,False,0,True,2,52270.57,True,0.6711,65.58,99.33
NS-ML-00188,372628.26,42,State Govt,Manufacturing,Gujarat,False,0,False,1,29810.26,False,0.7807,93.68,126.65
NS-ML-00189,85614.53,123,State Govt,Manufacturing,Maharashtra,True,45,True,1,6849.16,True,0.8868,96.83,72.35
NS-ML-00190,319367.14,46,State Govt,Services,Maharashtra,True,45,True,5,25549.37,True,0.7187,91.81,92.08
NS-ML-00191,3685032.14,196,Private Ltd,Manufacturing,Uttar Pradesh,True,45,False,5,294802.57,True,0.6602,82.4,122.54
NS-ML-00192,361774.07,84,Private Ltd,Manufacturing,Uttar Pradesh,True,45,True,4,28941.93,True,0.7432,89.26,154.57
NS-ML-00193,751559.84,73,Private Ltd,Manufacturing,Delhi,False,0,True,1,60124.79,False,0.6384,75.9,95.16
NS-ML-00194,491002.3,93,Private Ltd,Manufacturing,Tamil Nadu,True,45,True,5,39280.18,False,0.7404,86.36,85.97
NS-ML-00195,2181990.88,154,Proprietorship,Manufacturing,Tamil Nadu,False,0,True,5,174559.27,True,0.4997,62.62,160.39
NS-ML-00196,124621.46,154,Private Ltd,Services,Karnataka,True,45,False,5,9969.72,False,0.7573,80.13,80.55
NS-ML-00197,352963.56,121,Proprietorship,Services,Delhi,True,45,True,1,28237.09,False,0.6451,72.12,66.33
NS-ML-00198,123742.3,189,Private Ltd,Services,Karnataka,True,45,True,3,9899.38,False,0.7346,89.13,60.56
NS-ML-00199,141605.78,105,Private Ltd,Manufacturing,Delhi,False,0,True,4,11328.46,False,0.7509,67.31,76.5
NS-ML-00200,189135.37,164,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,2,15130.83,False,0.6603,66.87,109.1
NS-ML-00201,269580.02,114,Proprietorship,Services,Tamil Nadu,False,0,True,1,21566.4,True,0.5708,72.35,101.7
NS-ML-00202,110593.43,30,Proprietorship,Manufacturing,Maharashtra,True,45,True,3,8847.47,True,0.7482,79.07,87.37
NS-ML-00203,826518.68,140,Private Ltd,Manufacturing,Delhi,True,45,True,5,66121.49,False,0.8207,93.36,97.66
NS-ML-00204,501170.54,98,Private Ltd,Manufacturing,Delhi,True,45,True,1,40093.64,True,0.7568,79.23,79.96
NS-ML-00205,927388.7,52,Private Ltd,Manufacturing,Delhi,True,45,True,5,74191.1,False,0.6579,79.62,103.12
NS-ML-00206,1402935.59,166,PSU,Services,Maharashtra,False,0,True,1,112234.85,False,0.7165,91.31,73.83
NS-ML-00207,462069.71,62,Proprietorship,Services,Delhi,True,45,True,1,36965.58,False,0.6785,65.65,86.26
NS-ML-00208,366287.64,224,Private Ltd,Manufacturing,Gujarat,True,45,True,1,29303.01,False,0.794,84.59,79.61
NS-ML-00209,359173.2,82,Proprietorship,Manufacturing,Uttar Pradesh,False,0,True,2,28733.86,False,0.547,61.07,97.65
NS-ML-00210,969152.67,120,Proprietorship,Services,Uttar Pradesh,True,45,True,2,77532.21,False,0.6042,78.56,101.98
NS-ML-00211,289705.21,88,Private Ltd,Services,Gujarat,False,0,True,1,23176.42,False,0.631,64.21,63.33
NS-ML-00212,963688.62,250,Proprietorship,Manufacturing,Tamil Nadu,True,45,True,5,77095.09,False,0.66,73.72,79.59
NS-ML-00213,215756.46,38,State Govt,Services,Uttar Pradesh,True,45,True,5,17260.52,False,0.7865,100.0,118.19
NS-ML-00214,269758.73,118,Proprietorship,Manufacturing,Uttar Pradesh,True,45,True,5,21580.7,True,0.6801,67.87,119.81
NS-ML-00215,76211.17,179,PSU,Manufacturing,Gujarat,True,45,True,4,6096.89,False,0.7793,98.21,132.95
NS-ML-00216,1775968.93,69,State Govt,Manufacturing,Gujarat,False,0,False,5,142077.51,False,0.6556,81.83,147.79
NS-ML-00217,463368.33,139,Proprietorship,Manufacturing,Gujarat,True,45,True,5,37069.47,True,0.747,78.14,110.11
NS-ML-00218,334349.13,230,PSU,Services,Uttar Pradesh,False,0,True,4,26747.93,False,0.7803,90.99,123.07
NS-ML-00219,901021.0,102,PSU,Services,Uttar Pradesh,True,45,True,2,72081.68,True,0.9104,100.0,105.67
