case_id,state,buyer_state,buyer_type,sector,dispute_amount,days_overdue,has_agreement,invoice_count,outcome,recovery_percentage,recovered_amount,stage,resolution_days,month,buyer_gstin,buyer_name,buyer_gst_compliant
NS-DIS-00021,Uttar Pradesh,Uttar Pradesh,Private Ltd,Services,377395.85,162,False,3,Full recovery,100,377395.85,Recovered,90,2,26AABCX0340E1ZP,Buyer Entity 340,True
NS-DIS-00022,Uttar Pradesh,Uttar Pradesh,PSU,Services,116931.46,136,False,5,In process,28,32740.81,Arbitration,87,12,08AABCX0357E1ZP,Buyer Entity 357,True
NS-DIS-00023,West Bengal,West Bengal,Proprietorship,Manufacturing,146516.64,74,True,1,Partial settlement,67,98166.15,UNP_Settled,57,2,25AABCX0374E1ZP,Buyer Entity 374,True
NS-DIS-00024,Delhi,Uttar Pradesh,Proprietorship,Manufacturing,175484.26,170,False,4,Full recovery,100,175484.26,Recovered,73,1,07AABCX0391E1ZP,Buyer Entity 391,False
NS-DIS-00025,Delhi,Delhi,Private Ltd,Manufacturing,204310.31,380,True,5,Full recovery,100,204310.31,Recovered,135,4,24AABCX0408E1ZP,Buyer Entity 408,True
NS-DIS-00026,Tamil Nadu,Tamil Nadu,Private Ltd,Manufacturing,492675.15,449,False,1,Partial settlement,84,413847.13,UNP_Settled,154,4,06AABCX0425E1ZP,Buyer Entity 425,True
NS-DIS-00027,Tamil Nadu,Tamil Nadu,Partnership,Manufacturing,170755.96,77,False,4,Unresolved,3,5122.68,Award_Passed,43,11,23AABCX0442E1ZP,Buyer Entity 442,True
NS-DIS-00028,West Bengal,West Bengal,PSU,Services,353388.48,193,False,4,In process,58,204965.32,MSEFC_Referred,81,4,05AABCX0459E1ZP,Buyer Entity 459,True
NS-DIS-00029,Maharashtra,Maharashtra,Private Ltd,Manufacturing,311253.64,211,False,2,Partial settlement,81,252115.45,UNP_Settled,60,11,22AABCX0476E1ZP,Buyer Entity 476,True
NS-DIS-00030,Others,Others,Private Ltd,Services,375875.6,120,True,4,Partial settlement,94,353323.06,UNP_Settled,51,5,04AABCX0493E1ZP,Buyer Entity 493,True
NS-DIS-00031,Gujarat,Rajasthan,Private Ltd,Manufacturing,114143.97,143,True,5,In process,58,66203.5,Arbitration,65,3,11AABCX0010E1ZP,Buyer Entity 010,True
NS-DIS-00032,Rajasthan,Rajasthan,Private Ltd,Services,800631.25,87,False,2,Full recovery,100,800631.25,Recovered,59,6,28AABCX0027E1ZP,Buyer Entity 027,True
NS-DIS-00033,Delhi,Delhi,Proprietorship,Manufacturing,201343.44,67,False,3,Full recovery,100,201343.44,Recovered,68,12,10AABCX0044E1ZP,Buyer Entity 044,True
NS-DIS-00034,West Bengal,West Bengal,LLP,Manufacturing,132310.29,52,True,3,In process,20,26462.06,Conciliation,30,6,27AABCX0061E1ZP,Buyer Entity 061,True
NS-DIS-00035,Karnataka,Rajasthan,PSU,Services,74459.88,247,False,3,Dismissed,0,0.0,Closed,122,3,09AABCX0078E1ZP,Buyer Entity 078,True
NS-DIS-00036,Delhi,Maharashtra,Central Govt,Manufacturing,265333.49,141,False,5,In process,26,68986.71,Conciliation,96,6,26AABCX0095E1ZP,Buyer Entity 095,True
NS-DIS-00037,Delhi,Delhi,Proprietorship,Manufacturing,602094.36,134,True,5,Full recovery,100,602094.36,Recovered,82,8,08AABCX0112E1ZP,Buyer Entity 112,False
NS-DIS-00038,Tamil Nadu,Uttar Pradesh,Private Ltd,Manufacturing,418276.1,80,True,4,Partial settlement,55,230051.86,UNP_Settled,58,6,25AABCX0129E1ZP,Buyer Entity 129,True
NS-DIS-00039,Delhi,Maharashtra,Private Ltd,Manufacturing,422070.85,86,True,2,Partial settlement,56,236359.68,UNP_Settled,56,1,07AABCX0146E1ZP,Buyer Entity 146,True
NS-DIS-00040,Others,Others,Proprietorship,Manufacturing,159784.9,157,False,1,Partial settlement,63,100664.49,UNP_Settled,64,3,24AABCX0163E1ZP,Buyer Entity 163,True
NS-DIS-00041,Others,Karnataka,Private Ltd,Manufacturing,367102.37,82,False,1,Full recovery,100,367102.37,Recovered,62,2,06AABCX0180E1ZP,Buyer Entity 180,True
NS-DIS-00042,Gujarat,Rajasthan,Proprietorship,Manufacturing,329436.7,109,True,4,In process,28,92242.28,MSEFC_Referred,69,8,23AABCX0197E1ZP,Buyer Entity 197,True
NS-DIS-00043,Others,Others,Proprietorship,Manufacturing,132169.79,79,True,2,In process,24,31720.75,MSEFC_Referred,76,10,05AABCX0214E1ZP,Buyer Entity 214,False
NS-DIS-00044,Rajasthan,Rajasthan,Private Ltd,Services,90345.18,83,True,3,Full recovery,100,90345.18,Recovered,52,6,22AABCX0231E1ZP,Buyer Entity 231,True
NS-DIS-00045,West Bengal,West Bengal,Proprietorship,Manufacturing,218916.94,158,False,5,Full recovery,100,218916.94,Recovered,34,9,04AABCX0248E1ZP,Buyer Entity 248,True
NS-DIS-00046,Uttar Pradesh,Uttar Pradesh,Partnership,Manufacturing,36442.1,59,True,2,In process,20,7288.42,Conciliation,30,12,21AABCX0265E1ZP,Buyer Entity 265,True
NS-DIS-00047,Tamil Nadu,Rajasthan,Private Ltd,Manufacturing,217159.26,108,False,4,Partial settlement,69,149839.89,UNP_Settled,30,11,03AABCX0282E1ZP,Buyer Entity 282,True
NS-DIS-00048,Gujarat,Gujarat,State Govt,Manufacturing,178433.88,178,False,1,Partial settlement,91,162374.83,UNP_Settled,93,7,20AABCX0299E1ZP,Buyer Entity 299,False
NS-DIS-00049,Maharashtra,Maharashtra,PSU,Manufacturing,674712.68,41,False,3,In process,33,222655.18,MSEFC_Referred,69,7,02AABCX0316E1ZP,Buyer Entity 316,False
NS-DIS-00050,Karnataka,Karnataka,Private Ltd,Services,2907198.58,57,True,4,Full recovery,100,2907198.58,Recovered,56,2,19AABCX0333E1ZP,Buyer Entity 333,False
NS-DIS-00051,Karnataka,Karnataka,LLP,Manufacturing,102688.43,355,False,3,In process,49,50317.33,Arbitration,120,6,01AABCX0350E1ZP,Buyer Entity 350,True
NS-DIS-00052,Gujarat,Gujarat,Private Ltd,Services,43604.76,140,False,4,Partial settlement,66,28779.14,UNP_Settled,88,7,18AABCX0367E1ZP,Buyer Entity 367,True
NS-DIS-00053,Tamil Nadu,Rajasthan,State Govt,Services,119442.98,65,True,4,Partial settlement,71,84804.52,UNP_Settled,34,5,35AABCX0384E1ZP,Buyer Entity 384,True
NS-DIS-00054,Karnataka,Karnataka,LLP,Services,94958.79,119,True,2,Partial settlement,66,62672.8,UNP_Settled,53,9,17AABCX0401E1ZP,Buyer Entity 401,True
NS-DIS-00055,Delhi,Delhi,Private Ltd,Manufacturing,181339.12,98,True,1,Partial settlement,73,132377.56,UNP_Settled,47,9,34AABCX0418E1ZP,Buyer Entity 418,True
NS-DIS-00056,Karnataka,Karnataka,Private Ltd,Services,792639.03,136,True,3,Full recovery,100,792639.03,Recovered,65,8,16AABCX0435E1ZP,Buyer Entity 435,True
NS-DIS-00057,Tamil Nadu,Tamil Nadu,Private Ltd,Services,416977.38,163,True,1,Full recovery,100,416977.38,Recovered,69,6,33AABCX0452E1ZP,Buyer Entity 452,True
NS-DIS-00058,Maharashtra,Maharashtra,Private Ltd,Manufacturing,106817.07,229,False,4,Full recovery,100,106817.07,Recovered,72,5,15AABCX0469E1ZP,Buyer Entity 469,True
NS-DIS-00059,Others,Others,Proprietorship,Manufacturing,1781275.59,36,True,4,In process,20,356255.12,Arbitration,67,11,32AABCX0486E1ZP,Buyer Entity 486,False
NS-DIS-00060,Others,Others,Private Ltd,Manufacturing,190537.94,84,True,2,In process,40,76215.18,Conciliation,41,7,04AABCX0003E1ZP,Buyer Entity 003,True
NS-DIS-00061,Others,Others,Central Govt,Services,454240.82,297,True,5,Partial settlement,64,290714.12,UNP_Settled,144,10,21AABCX0020E1ZP,Buyer Entity 020,False
NS-DIS-00062,Maharashtra,Maharashtra,Proprietorship,Manufacturing,84247.95,187,True,3,In process,41,34541.66,Conciliation,60,4,03AABCX0037E1ZP,Buyer Entity 037,True
NS-DIS-00063,Maharashtra,Maharashtra,Private Ltd,Services,38568.23,158,True,2,Full recovery,100,38568.23,Recovered,43,2,20AABCX0054E1ZP,Buyer Entity 054,True
NS-DIS-00064,Karnataka,Karnataka,Central Govt,Manufacturing,80336.84,92,False,4,Dismissed,0,0.0,Closed,60,3,02AABCX0071E1ZP,Buyer Entity 071,True
NS-DIS-00065,Maharashtra,Maharashtra,Private Ltd,Services,60232.17,216,True,2,Full recovery,100,60232.17,Recovered,51,6,19AABCX0088E1ZP,Buyer Entity 088,True
NS-DIS-00066,Others,Tamil Nadu,Private Ltd,Services,373544.53,260,False,5,In process,42,156888.7,Conciliation,85,2,01AABCX0105E1ZP,Buyer Entity 105,True
NS-DIS-00067,Others,Others,Proprietorship,Services,114692.17,292,True,1,Partial settlement,74,84872.21,UNP_Settled,80,5,18AABCX0122E1ZP,Buyer Entity 122,False
NS-DIS-00068,Others,Others,Private Ltd,Services,138327.11,65,False,4,Dismissed,0,0.0,Closed,61,2,35AABCX0139E1ZP,Buyer Entity 139,True
NS-DIS-00069,Karnataka,Karnataka,Private Ltd,Manufacturing,709542.51,63,False,2,Full recovery,100,709542.51,Recovered,32,6,17AABCX0156E1ZP,Buyer Entity 156,True
NS-DIS-00070,Maharashtra,Maharashtra,Proprietorship,Services,374274.04,52,True,1,Full recovery,100,374274.04,Recovered,30,7,34AABCX0173E1ZP,Buyer Entity 173,True
NS-DIS-00071,Uttar Pradesh,Uttar Pradesh,PSU,Services,104418.13,367,False,4,Full recovery,100,104418.13,Recovered,183,3,16AABCX0190E1ZP,Buyer Entity 190,True
NS-DIS-00072,West Bengal,West Bengal,Proprietorship,Manufacturing,1297341.04,316,True,5,Unresolved,9,116760.69,Award_Passed,148,10,33AABCX0207E1ZP,Buyer Entity 207,True
NS-DIS-00073,Tamil Nadu,Tamil Nadu,Proprietorship,Manufacturing,161728.47,34,False,2,Partial settlement,76,122913.64,UNP_Settled,33,12,15AABCX0224E1ZP,Buyer Entity 224,True
NS-DIS-00074,Karnataka,Karnataka,PSU,Services,371709.06,53,True,3,Partial settlement,90,334538.15,UNP_Settled,69,9,32AABCX0241E1ZP,Buyer Entity 241,True
NS-DIS-00075,Others,Others,LLP,Services,79857.38,137,True,4,Dismissed,0,0.0,Closed,70,6,14AABCX0258E1ZP,Buyer Entity 258,True
NS-DIS-00076,Tamil Nadu,Tamil Nadu,Central Govt,Services,140741.12,282,True,3,Partial settlement,67,94296.55,UNP_Settled,101,10,31AABCX0275E1ZP,Buyer Entity 275,True
NS-DIS-00077,Rajasthan,Rajasthan,PSU,Manufacturing,410488.38,166,True,5,Partial settlement,70,287341.87,UNP_Settled,102,12,13AABCX0292E1ZP,Buyer Entity 292,True
NS-DIS-00078,Rajasthan,Gujarat,Proprietorship,Manufacturing,489309.15,135,False,3,Full recovery,100,489309.15,Recovered,65,11,30AABCX0309E1ZP,Buyer Entity 309,True
NS-DIS-00079,Maharashtra,Tamil Nadu,Private Ltd,Services,1223914.45,105,False,1,Partial settlement,73,893457.55,UNP_Settled,85,2,12AABCX0326E1ZP,Buyer Entity 326,True
NS-DIS-00080,Rajasthan,Rajasthan,Proprietorship,Manufacturing,743807.18,73,True,5,Partial settlement,58,431408.16,UNP_Settled,46,5,29AABCX0343E1ZP,Buyer Entity 343,True
NS-DIS-00081,Others,Others,Proprietorship,Services,416832.62,53,False,5,Full recovery,100,416832.62,Recovered,30,2,11AABCX0360E1ZP,Buyer Entity 360,True
NS-DIS-00082,West Bengal,West Bengal,Private Ltd,Manufacturing,124128.84,36,False,4,Full recovery,100,124128.84,Recovered,48,6,28AABCX0377E1ZP,Buyer Entity 377,True
NS-DIS-00083,Others,Others,Private Ltd,Manufacturing,1132571.56,185,False,3,Full recovery,100,1132571.56,Recovered,94,10,10AABCX0394E1ZP,Buyer Entity 394,True
NS-DIS-00084,Rajasthan,Rajasthan,Private Ltd,Services,798998.6,524,True,5,Full recovery,100,798998.6,Recovered,170,1,27AABCX0411E1ZP,Buyer Entity 411,False
NS-DIS-00085,Maharashtra,Maharashtra,Private Ltd,Manufacturing,803376.35,69,True,4,Full recovery,100,803376.35,Recovered,30,12,09AABCX0428E1ZP,Buyer Entity 428,True
NS-DIS-00086,Delhi,Karnataka,Proprietorship,Manufacturing,149934.15,70,False,5,Partial settlement,85,127444.03,UNP_Settled,42,9,26AABCX0445E1ZP,Buyer Entity 445,True
NS-DIS-00087,Others,Others,PSU,Services,242667.68,185,True,1,Full recovery,100,242667.68,Recovered,115,6,08AABCX0462E1ZP,Buyer Entity 462,True
NS-DIS-00088,Gujarat,Tamil Nadu,LLP,Services,40101.13,260,True,4,Partial settlement,56,22456.63,UNP_Settled,97,7,25AABCX0479E1ZP,Buyer Entity 479,True
NS-DIS-00089,Maharashtra,Karnataka,Private Ltd,Manufacturing,403939.48,168,False,1,Partial settlement,60,242363.69,UNP_Settled,64,11,07AABCX0496E1ZP,Buyer Entity 496,True
NS-DIS-00090,Uttar Pradesh,Karnataka,Proprietorship,Services,203702.12,248,True,2,Dismissed,0,0.0,Closed,119,8,14AABCX0013E1ZP,Buyer Entity 013,True
NS-DIS-00091,Karnataka,Karnataka,Proprietorship,Manufacturing,85205.57,94,False,5,In process,58,49419.23,MSEFC_Referred,58,8,31AABCX0030E1ZP,Buyer Entity 030,True
NS-DIS-00092,Delhi,Delhi,State Govt,Manufacturing,556386.58,337,False,3,In process,32,178043.71,MSEFC_Referred,132,3,13AABCX0047E1ZP,Buyer Entity 047,True
NS-DIS-00093,Delhi,Delhi,LLP,Services,123486.67,174,True,2,Full recovery,100,123486.67,Recovered,76,3,30AABCX0064E1ZP,Buyer Entity 064,False
NS-DIS-00094,Tamil Nadu,Tamil Nadu,LLP,Services,89650.89,79,False,1,Full recovery,100,89650.89,Recovered,34,3,12AABCX0081E1ZP,Buyer Entity 081,True
NS-DIS-00095,Rajasthan,West Bengal,Private Ltd,Services,128224.51,225,True,5,Dismissed,0,0.0,Closed,85,3,29AABCX0098E1ZP,Buyer Entity 098,True
NS-DIS-00096,Tamil Nadu,Tamil Nadu,LLP,Manufacturing,177291.31,107,True,5,Partial settlement,74,131195.57,UNP_Settled,72,1,11AABCX0115E1ZP,Buyer Entity 115,True
NS-DIS-00097,Maharashtra,Maharashtra,Partnership,Services,92643.89,155,False,4,Dismissed,0,0.0,Closed,50,3,28AABCX0132E1ZP,Buyer Entity 132,True
NS-DIS-00098,Maharashtra,Maharashtra,Private Ltd,Manufacturing,25000.0,97,True,3,In process,34,8500.0,MSEFC_Referred,65,2,10AABCX0149E1ZP,Buyer Entity 149,True
NS-DIS-00099,Uttar Pradesh,Uttar Pradesh,Private Ltd,Services,38250.62,167,False,5,Full recovery,100,38250.62,Recovered,96,11,27AABCX0166E1ZP,Buyer Entity 166,True
NS-DIS-00100,Uttar Pradesh,Uttar Pradesh,Private Ltd,Manufacturing,72795.96,97,False,3,Partial settlement,66,48045.33,UNP_Settled,74,6,09AABCX0183E1ZP,Buyer Entity 183,False
NS-DIS-00101,Others,Others,Partnership,Services,262209.96,141,True,4,Full recovery,100,262209.96,Recovered,81,9,26AABCX0200E1ZP,Buyer Entity 200,True
NS-DIS-00102,Tamil Nadu,Tamil Nadu,PSU,Services,49507.66,51,True,1,In process,22,10891.69,Conciliation,74,1,08AABCX0217E1ZP,Buyer Entity 217,True
NS-DIS-00103,Maharashtra,Rajasthan,PSU,Manufacturing,217230.49,150,True,2,Dismissed,0,0.0,Closed,93,9,25AABCX0234E1ZP,Buyer Entity 234,True
NS-DIS-00104,Maharashtra,Maharashtra,Proprietorship,Manufacturing,145514.16,131,False,3,Partial settlement,87,126597.32,UNP_Settled,34,11,07AABCX0251E1ZP,Buyer Entity 251,True
NS-DIS-00105,Delhi,Gujarat,Central Govt,Manufacturing,449995.34,154,True,4,Unresolved,23,103498.93,Award_Passed,93,10,24AABCX0268E1ZP,Buyer Entity 268,True
NS-DIS-00106,Maharashtra,Maharashtra,Proprietorship,Manufacturing,282669.75,139,False,5,Full recovery,100,282669.75,Recovered,65,6,06AABCX0285E1ZP,Buyer Entity 285,False
NS-DIS-00107,Delhi,Delhi,Central Govt,Manufacturing,176828.41,141,True,1,Partial settlement,76,134389.59,UNP_Settled,82,10,23AABCX0302E1ZP,Buyer Entity 302,False
NS-DIS-00108,Delhi,Delhi,Private Ltd,Manufacturing,289834.66,89,False,4,In process,25,72458.66,MSEFC_Referred,64,4,05AABCX0319E1ZP,Buyer Entity 319,True
NS-DIS-00109,Gujarat,Gujarat,Proprietorship,Manufacturing,36464.17,174,True,4,Full recovery,100,36464.17,Recovered,68,12,22AABCX0336E1ZP,Buyer Entity 336,True
NS-DIS-00110,Others,Others,Proprietorship,Services,848366.04,91,False,4,In process,58,492052.3,Conciliation,37,3,04AABCX0353E1ZP,Buyer Entity 353,True
NS-DIS-00111,Karnataka,Karnataka,Private Ltd,Manufacturing,369997.27,197,True,4,Full recovery,100,369997.27,Recovered,89,2,21AABCX0370E1ZP,Buyer Entity 370,True
NS-DIS-00112,Delhi,Delhi,Private Ltd,Manufacturing,122766.69,126,True,4,In process,46,56472.68,MSEFC_Referred,56,10,03AABCX0387E1ZP,Buyer Entity 387,False
NS-DIS-00113,Gujarat,Gujarat,LLP,Manufacturing,91078.03,82,True,5,In process,51,46449.8,Arbitration,58,12,20AABCX0404E1ZP,Buyer Entity 404,True
NS-DIS-00114,Maharashtra,Tamil Nadu,Private Ltd,Manufacturing,128461.73,49,False,5,Dismissed,0,0.0,Closed,30,8,02AABCX0421E1ZP,Buyer Entity 421,True
NS-DIS-00115,Uttar Pradesh,Maharashtra,PSU,Manufacturing,361965.5,50,True,4,Partial settlement,86,311290.33,UNP_Settled,102,12,19AABCX0438E1ZP,Buyer Entity 438,True
NS-DIS-00116,Others,West Bengal,PSU,Manufacturing,274029.77,87,False,3,Full recovery,100,274029.77,Recovered,67,1,01AABCX0455E1ZP,Buyer Entity 455,True
NS-DIS-00117,Delhi,Gujarat,Central Govt,Manufacturing,158012.65,150,False,5,Partial settlement,76,120089.61,UNP_Settled,76,12,18AABCX0472E1ZP,Buyer Entity 472,True
NS-DIS-00118,Gujarat,Delhi,Partnership,Manufacturing,110919.78,79,False,2,Dismissed,0,0.0,Closed,75,8,35AABCX0489E1ZP,Buyer Entity 489,True
NS-DIS-00119,Gujarat,Gujarat,Proprietorship,Manufacturing,203991.58,62,True,2,Partial settlement,72,146873.94,UNP_Settled,30,2,07AABCX0006E1ZP,Buyer Entity 006,True
NS-DIS-00120,Others,Others,Private Ltd,Services,668204.34,107,False,5,In process,41,273963.78,MSEFC_Referred,47,6,24AABCX0023E1ZP,Buyer Entity 023,True
NS-DIS-00121,Uttar Pradesh,Uttar Pradesh,Partnership,Manufacturing,178083.53,279,True,3,In process,56,99726.78,Conciliation,112,1,06AABCX0040E1ZP,Buyer Entity 040,True
NS-DIS-00122,Others,Others,Proprietorship,Services,166637.11,178,True,2,Full recovery,100,166637.11,Recovered,77,10,23AABCX0057E1ZP,Buyer Entity 057,True
NS-DIS-00123,Rajasthan,Rajasthan,PSU,Services,126688.8,159,True,1,Full recovery,100,126688.8,Recovered,119,11,05AABCX0074E1ZP,Buyer Entity 074,True
NS-DIS-00124,Maharashtra,West Bengal,LLP,Manufacturing,1291949.45,445,True,1,Partial settlement,74,956042.59,UNP_Settled,159,8,22AABCX0091E1ZP,Buyer Entity 091,True
NS-DIS-00125,Tamil Nadu,Tamil Nadu,Private Ltd,Services,246386.53,176,True,4,Partial settlement,85,209428.55,UNP_Settled,80,3,04AABCX0108E1ZP,Buyer Entity 108,True
NS-DIS-00126,Others,Rajasthan,Private Ltd,Manufacturing,86618.26,62,True,4,Full recovery,100,86618.26,Recovered,60,5,21AABCX0125E1ZP,Buyer Entity 125,True
NS-DIS-00127,Uttar Pradesh,Uttar Pradesh,Private Ltd,Manufacturing,131696.7,116,False,3,Full recovery,100,131696.7,Recovered,73,3,03AABCX0142E1ZP,Buyer Entity 142,True
NS-DIS-00128,Rajasthan,Rajasthan,Private Ltd,Manufacturing,441228.64,113,True,2,Full recovery,100,441228.64,Recovered,62,6,20AABCX0159E1ZP,Buyer Entity 159,True
NS-DIS-00129,Maharashtra,Maharashtra,Proprietorship,Manufacturing,160130.83,205,False,5,Full recovery,100,160130.83,Recovered,70,2,02AABCX0176E1ZP,Buyer Entity 176,True
NS-DIS-00130,Delhi,Karnataka,Partnership,Manufacturing,81192.79,103,False,3,Full recovery,100,81192.79,Recovered,72,12,19AABCX0193E1ZP,Buyer Entity 193,True
NS-DIS-00131,West Bengal,West Bengal,PSU,Services,210693.39,134,False,2,In process,29,61101.08,Arbitration,114,5,01AABCX0210E1ZP,Buyer Entity 210,True
NS-DIS-00132,Rajasthan,Rajasthan,Central Govt,Manufacturing,332746.23,252,True,5,Full recovery,100,332746.23,Recovered,104,4,18AABCX0227E1ZP,Buyer Entity 227,True
NS-DIS-00133,Gujarat,Gujarat,Partnership,Services,5000000.0,52,False,4,Full recovery,100,5000000.0,Recovered,85,12,35AABCX0244E1ZP,Buyer Entity 244,True
NS-DIS-00134,Tamil Nadu,Uttar Pradesh,Private Ltd,Services,480670.38,44,True,4,Unresolved,19,91327.37,Award_Passed,48,7,17AABCX0261E1ZP,Buyer Entity 261,True
NS-DIS-00135,Maharashtra,Maharashtra,Proprietorship,Services,596885.39,176,False,5,Full recovery,100,596885.39,Recovered,71,5,34AABCX0278E1ZP,Buyer Entity 278,False
NS-DIS-00136,Uttar Pradesh,Uttar Pradesh,Private Ltd,Manufacturing,69155.52,81,False,4,Full recovery,100,69155.52,Recovered,79,5,16AABCX0295E1ZP,Buyer Entity 295,True
NS-DIS-00137,Delhi,Delhi,Proprietorship,Services,853074.59,57,True,1,In process,24,204737.9,Conciliation,30,11,33AABCX0312E1ZP,Buyer Entity 312,True
NS-DIS-00138,Others,Others,Proprietorship,Services,1405707.16,123,True,4,Full recovery,100,1405707.16,Recovered,80,1,15AABCX0329E1ZP,Buyer Entity 329,True
NS-DIS-00139,Maharashtra,Karnataka,LLP,Manufacturing,460371.09,277,True,2,Partial settlement,84,386711.72,UNP_Settled,90,11,32AABCX0346E1ZP,Buyer Entity 346,True
NS-DIS-00140,Uttar Pradesh,Delhi,Proprietorship,Manufacturing,701418.57,159,True,2,Full recovery,100,701418.57,Recovered,95,3,14AABCX0363E1ZP,Buyer Entity 363,True
NS-DIS-00141,Others,Tamil Nadu,Private Ltd,Manufacturing,175766.38,90,False,2,In process,40,70306.55,MSEFC_Referred,47,8,31AABCX0380E1ZP,Buyer Entity 380,True
NS-DIS-00142,Maharashtra,Maharashtra,Private Ltd,Services,1264514.61,208,True,4,In process,35,442580.11,MSEFC_Referred,74,10,13AABCX0397E1ZP,Buyer Entity 397,True
NS-DIS-00143,Delhi,Delhi,Private Ltd,Services,897133.87,228,False,4,Partial settlement,58,520337.64,UNP_Settled,76,10,30AABCX0414E1ZP,Buyer Entity 414,True
NS-DIS-00144,Delhi,Uttar Pradesh,Proprietorship,Manufacturing,1745970.52,124,False,2,Dismissed,0,0.0,Closed,88,6,12AABCX0431E1ZP,Buyer Entity 431,True
NS-DIS-00145,Others,Uttar Pradesh,Private Ltd,Manufacturing,471358.23,53,False,2,Full recovery,100,471358.23,Recovered,40,10,29AABCX0448E1ZP,Buyer Entity 448,True
NS-DIS-00146,West Bengal,West Bengal,Proprietorship,Manufacturing,182620.82,210,False,4,In process,45,82179.37,Conciliation,103,11,11AABCX0465E1ZP,Buyer Entity 465,True
NS-DIS-00147,Tamil Nadu,Gujarat,Private Ltd,Manufacturing,87154.71,125,False,4,Partial settlement,59,51421.28,UNP_Settled,77,3,28AABCX0482E1ZP,Buyer Entity 482,True
